facility_name	street_address_1	street_address_2	city	state	ZIP	tel	fax
Mobile Station	4425 Demetropolis Road		Mobile	AL	36619	(251) 660-1445	(251) 660-1495
Ajo Station	850 North Highway 85		Why	AZ	85321-9634	(520) 387-7002	(520) 387-6620
Brian A. Terry Station	2136 South Naco Highway		Bisbee	AZ	85603	(520) 432-5121	(520) 432-5219
Casa Grande Station	396 Camino Mercado		Casa Grande	AZ	85122	(520) 836-7812	(520) 423-2341
Douglas Station	1608 South Kings Highway		Douglas	AZ	85607	(520) 805-6900	(520) 805-8080
Nogales Station	1500 West La Quinta Road		Nogales	AZ	85621	(520) 761-2400	(520) 761-2628
Sonoita Station	3225 Highway 82		Sonoita	AZ	85637	(520) 455-5051	(520) 455-5807
Tucson Station	2430 South Swan Road		Tucson	AZ	85711	(520) 514-4700	(520) 514-4760
Wellton Station	10888 Avenue 31E		Wellton	AZ	85356	(928) 785-9364	(928) 785-4582
Willcox Station	200 South Rex Allen Jr. Road		Willcox	AZ	85643	(520) 384-7200	(520) 384-7249
Yuma Station	4151 South Avenue A		Yuma	AZ	85365	(928) 341-2800	(928) 344-1184
Blythe Station	16870 West Hobson Way		Blythe	CA	92226	(760) 922-6715	(760) 922-5179
Boulevard Station	2463 Ribbonwood Road		Boulevard	CA	91905	(619) 766-3000	(619) 766-9060
Brown Field Station	7560 Britannia Court		San Diego	CA	92154	(619) 671-1800	(619) 661-9340
Calexico Station	1150 Birch Street		Calexico	CA	92231	(760) 768-7000	(760) 357-3748
Campo Station	32355 Old Highway 80		Pine Valley	CA	91962	(619) 938-8700	(619) 478-9793
Chula Vista Station	311 Athey Street		San Diego	CA	92173	(619) 498-9700	
El Cajon Station	225 Kenney Street		El Cajon	CA	92020	(619) 258-4500	(619) 596-6054
El Centro Station	221 West Aten Road		Imperial	CA	92251	(760) 337-7100	(760) 337-7291
Imperial Beach Station	1802 Saturn Boulevard		San Diego	CA	92154	(619) 628-2900	(619) 628-4460
Indio Station	45-620 Commerce Street		Indio	CA	92201	(760) 347-3658	(760) 342-9848
San Clemente Station	San Onofre - Weigh Scales	Mile Marker 67 I-5	San Clemente	CA	92674	(760) 430-7029	(619) 557-6386
Theodore L. Newton, Jr. and George F. Azrak Station	25762 Madison Avenue		Murrieta	CA	92562	(951) 816-3000	(951) 816-3030
Dania Beach Station	1800 NE 7th Avenue		Dania Beach	FL	33004	(954) 496-8300	(954) 713-1208
Jacksonville Station	489 Dundas Drive		Jacksonville	FL	32218	(904) 714-0225	(904) 757-2589
Marathon Station	3770 Overseas Highway	Fat Deer Key	Marathon	FL	33050	(305) 289-0942	(305) 743-6091
Orlando Station	2348 Trade Port Drive		Orlando	FL	32824	(407) 967-4000	(407) 967-4033
Tampa Station	3811 Corporex Park Drive		Tampa	FL	33619	(813) 623-5101	(813) 623-5011
West Palm Beach Station	3301 Lake Shore Drive		Riviera Beach	FL	33404	(561) 848-6161	(561) 881-5229
Bonners Ferry Station	112 Moon Shadow Road		Bonners Ferry	ID	83805	(208) 267-2734	(208) 267-0409
Baton Rouge Station	11655 Southfork Avenue		Baton Rouge	LA	70816	(225) 298-5501	(225) 298-5505
Lake Charles Station	152 Marine Street		Lake Charles	LA	70601-5612	(337) 721-3400	(337) 721-3405
New Orleans Station	3819 Patterson Road		New Orleans	LA	70114	(504) 376-2830	(504) 376-2836
Calais Station	67 Park Road		Baring	ME	4694	(207) 454-3613	(207) 454-7257
Fort Fairfield Station	200 Limestone Road		Fort Fairfield	ME	4742	(207) 472-5041	(207) 473-7330
Houlton Station	591 North Street		Houlton	ME	4730	(207) 532-9061	(207) 532-9309
Jackman Station	229 Long Pond Road		Jackman	ME	4945	(207) 668-3151	(207) 668-4112
Rangeley Station	224 Stratton Road		Dallas Plantation	ME	4970	(207) 864-5356	(207) 864-2740
Van Buren Station	9 Main Street		Van Buren	ME	4785	(207) 868-3900	(207) 868-2908
Detroit Station	11700 E. Jefferson Avenue		Detroit	MI	48214	(313) 926-4700	(313) 926-4790
Gibraltar Station	14801 Middle Gibraltar Road		Gibraltar	MI	48173	(734) 676-2972	(734) 676-4145
Marysville Station	2600 Wills Road		Marysville	MI	48040	(810) 989-5056	(810) 364-9273
Sault Sainte Marie Station	208 Bingham Avenue		Sault Ste. Marie	MI	49783	(906) 632-3383	(906) 632-4252
Duluth Station	4431 Endeavor Drive		Duluth	MN	55811	(218) 720-5465	(218) 720-5402
Grand Marais Station	315 South Broadway		Grand Marais	MN	55604	(218) 387-1770	(218) 387-2035
International Falls Station	312 Highway 11 East		International Falls	MN	56649	(218) 285-3423	(218) 285-3428
Pembina Station	4151 U.S. Highway 75		Noyes	MN	56740	(218) 823-6528	(218) 823-6607
